City Code Descriptio,Special Process Indi,BIDING AMMOUNT
TALIBPUR,1153,598
KHARGRAM,1162,457
RAJGRAM,1163,403
DEOGHAR - STO,1167,705
DEOGHAR - STO,1166,700
DEOGHAR - STO,1164,705
SAHEBGUNJ - STO,1166,758
SAHEBGUNJ - STO,1167,760
SAHEBGUNJ - STO,1164,771
DUMKA DUMP - STO,1167,543
DUMKA DUMP - STO,1166,538
DUMKA DUMP - STO,1164,548
PAKUR DUMP - STO,1167,408
PAKUR DUMP - STO,1166,403
PAKUR DUMP - STO,1164,412
JAMTARA DUMP - STO,1167,705
JAMTARA DUMP - STO,1166,700
JAMTARA DUMP - STO,1164,705
GODDA - STO,1166,734
GODDA - STO,1164,740
GODDA - STO,1167,739
PAKUR-T8-STO,1167,419
PAKUR-T8-STO,1166,414
PAKUR-T9-STO,1166,414
PAKUR-T9-STO,1167,419
SAHEBGUNJ-P2-STO,1166,758
SAHEBGUNJ-P2-STO,1167,760
SAHEBGUNJ-P2-STO,1164,771
SAHEBGUNJ-P3-STO,1164,771
SAHEBGUNJ-P3-STO,1167,760
SAHEBGUNJ-P3-STO,1166,758
SAHIBGANJ T5-STO,1164,771
SAHIBGANJ T5-STO,1166,758
SAHIBGANJ T5-STO,1167,760
SAHIBGANJ T6-STO,1164,771
SAHIBGANJ T6-STO,1166,758
SAHIBGANJ T6-STO,1167,760
BG PAKUR-STO,1167,419
BG PAKUR-STO,1164,421
BG PAKUR-STO,1166,414
BG DUMKA-STO,1164,571
BG DUMKA-STO,1166,565
BG DUMKA-STO,1167,570
BG SAHIBGANJ 1 - STO,1167,760
BG SAHIBGANJ 1 - STO,1166,758
BG SAHIBGANJ 1 - STO,1164,771
BG SAHIBGANJ 2 - STO,1164,771
BG SAHIBGANJ 2 - STO,1166,758
BG SAHIBGANJ 2 - STO,1167,760
GODDA - STO,1164,717
GODDA - STO,1166,707
GODDA - STO,1167,712
AMRAPARA,1164,499
AMRAPARA,1167,494
AMRAPARA,1166,489
ASANBANI,1167,605
ASANBANI,1164,609
ASANBANI,1166,600
ATAPUR,1166,601
ATAPUR,1167,607
ATAPUR,1164,616
BARHARWA,1167,573
BARHARWA,1164,583
BARHARWA,1166,567
BARHET,1164,692
BARHET,1166,673
BARHET,1167,680
BARMASIA,1166,598
BARMASIA,1164,605
BARMASIA,1167,603
BARWADA,1164,955
BASANT RAI,1166,824
BASANT RAI,1164,834
BASANT RAI,1167,829
BASUKINATH,1166,613
BASUKINATH,1164,622
BASUKINATH,1167,618
BHAGAIYA,1167,755
BHAGAIYA,1166,748
BHAGAIYA,1164,771
BOARIZOR,1166,741
BOARIZOR,1164,752
BOARIZOR,1167,746
BORIO,1164,643
BORIO,1167,633
BORIO,1166,627
BALIDIH,1164,813
BALIDIH,1166,787
BALIDIH,1167,795
BEGAMGANJ,1166,626
BEGAMGANJ,1164,644
BEGAMGANJ,1167,632
BANJHI,1167,765
BANJHI,1166,758
BANJHI,1164,783
BINDUPARA,1166,587
BINDUPARA,1164,603
BINDUPARA,1167,593
DEOGHAR,1167,741
DEOGHAR,1164,754
DEOGHAR,1166,733
DEVIPUR,1167,820
DEVIPUR,1166,821
DEVIPUR,1164,848
DUMKA,1164,608
DUMKA,1167,606
DUMKA,1166,601
DHAMNI,1166,794
DHAMNI,1167,802
DHAMNISEMIA,1166,764
DHAMNISEMIA,1167,772
DIGHI,1164,629
DIGHI,1167,621
DIGHI,1166,615
