Timestamp,BiddingDate,SlotNumber,SapOrderId,DestCityDesc,Spi,BiddingAmount,BiddingRank,L1BidAmount,AvgWtBidAmount,Freight,ClubFreight,ClubId,ShipFromWerks,NoOfTruckReq,KunagName1
2026-07-22T02:15:03.444Z,/Date(1784678400000)/,S16,9041906831,"SONAR BANGLA HUB - S","1164",48,,48,48,50,50,,6924,1,"SONAR BANGLA HUB"
2026-07-22T05:45:05.198Z,/Date(1784678400000)/,S23,1153895694,"TALIBPUR","1164",618,,618,618,623,623,,6924,1,"SATYAJIT GANAI"
2026-07-22T06:15:04.056Z,/Date(1784678400000)/,S24,1153897142,"JOYGHATA","1154",847,,847,847,855,855,22070003,6924,0,"PODDAR BUILDERS"
2026-07-22T06:15:04.056Z,/Date(1784678400000)/,S24,1153897127,"JOYGHATA","1154",847,,847,847,855,855,22070003,6924,0,"PODDAR BUILDERS"
2026-07-22T06:45:04.140Z,/Date(1784678400000)/,S25,1153900485,"RAJGRAM","1163",424,,424,424,428,428,,6924,1,"SAGARIKA ENTERPRISE"
2026-07-22T06:45:04.140Z,/Date(1784678400000)/,S25,1153900283,"KANDI","1163",462,,462,462,464,464,,6924,1,"MAA ANNAPURNA HARDWARE"
2026-07-22T07:15:05.001Z,/Date(1784678400000)/,S26,1153902831,"RAIGANJ","1164",823,,823,823,831,831,,6924,1,"B.S.CONSTRUCTION."
2026-07-22T07:45:03.970Z,/Date(1784678400000)/,S27,1153905066,"JOYGHATA","1154",847,,847,847,855,855,22070009,6924,0,"PODDAR BUILDERS"
2026-07-22T07:45:03.970Z,/Date(1784678400000)/,S27,1153905071,"JOYGHATA","1154",847,,847,847,855,855,22070009,6924,0,"PODDAR BUILDERS"
2026-07-22T11:15:04.455Z,/Date(1784678400000)/,S34,1153918917,"DHULIAN","1162",446,,446,446,450,450,,6924,1,"HIMADRI MAJI"
2026-07-22T11:45:05.009Z,/Date(1784678400000)/,S35,1153910727,"BALURGHAT","1164",869,,869,869,877,877,,6924,1,"ASTICK BUILDERS"
2026-07-22T11:45:05.009Z,/Date(1784678400000)/,S35,1153902843,"BALURGHAT","1164",869,,869,869,877,877,22070011,6924,0,"HIMANGSHU BUILDERS."
2026-07-22T11:45:05.009Z,/Date(1784678400000)/,S35,1153902834,"BALURGHAT","1164",869,,869,869,877,877,22070011,6924,0,"HIMANGSHU BUILDERS."
2026-07-22T12:45:03.973Z,/Date(1784678400000)/,S37,1153920063,"PATEKEBARI","1162",648,,648,648,651,651,,6924,1,"GOLD HARDWARE *"
2026-07-22T13:15:03.878Z,/Date(1784678400000)/,S38,1153927672,"RAMPURHAT","1162",505,,505,505,507,507,,6924,1,"ARJUNSWAR HARDWARE"
2026-07-22T13:15:03.878Z,/Date(1784678400000)/,S38,1153927674,"MD. BAZAR","1162",643,,643,643,646,646,,6924,1,"ARJUNSWAR HARDWARE"
2026-07-22T13:15:03.878Z,/Date(1784678400000)/,S38,1153927669,"MD. BAZAR","1162",643,,643,643,646,646,,6924,1,"ARJUNSWAR HARDWARE"
2026-07-22T13:45:03.322Z,/Date(1784678400000)/,S39,1153924408,"MD. BAZAR","1162",643,,643,643,646,646,,6924,1,"ARJUNSWAR HARDWARE"
2026-07-22T14:15:03.653Z,/Date(1784678400000)/,S40,1153927579,"KALESWAR","1162",623,,623,623,626,626,,6924,1,"ARJUNSWAR HARDWARE"
2026-07-22T14:15:03.653Z,/Date(1784678400000)/,S40,1153927989,"RAJGRAM","1163",424,,424,424,428,428,,6924,1,"SAGARIKA ENTERPRISE"
2026-07-22T19:15:03.483Z,/Date(1784764800000)/,S02,9041911204,"SONAR BANGLA HUB - S","1164",48,,48,48,50,50,,6924,1,"SONAR BANGLA HUB"
2026-07-22T19:45:03.879Z,/Date(1784764800000)/,S03,9041911340,"BG BERHAMPORE 1 -STO","1164",424,,424,424,426,426,,6924,1,"BG BERHAMPORE 1"
2026-07-22T19:45:03.879Z,/Date(1784764800000)/,S03,9041911341,"BG BERHAMPORE 1 -STO","1164",424,,424,424,426,426,,6924,1,"BG BERHAMPORE 1"
2026-07-22T19:45:03.879Z,/Date(1784764800000)/,S03,9041911347,"BERHAMPORE T9 - STO","1164",354,,354,354,357,357,,6924,1,"BERHAMPORE-T9"
2026-07-22T19:45:03.879Z,/Date(1784764800000)/,S03,9041911349,"BERHAMPORE T9 - STO","1164",354,,354,354,357,357,,6924,1,"BERHAMPORE-T9"
2026-07-22T20:45:03.908Z,/Date(1784764800000)/,S05,9041911568,"SONAR BANGLA HUB - S","1162",48,,48,48,50,50,,6924,1,"SONAR BANGLA HUB"
2026-07-22T20:45:03.908Z,/Date(1784764800000)/,S05,9041911567,"SONAR BANGLA HUB - S","1162",48,,48,48,50,50,,6924,1,"SONAR BANGLA HUB"
2026-07-22T20:45:03.908Z,/Date(1784764800000)/,S05,9041911566,"SONAR BANGLA HUB - S","1162",48,,48,48,50,50,,6924,1,"SONAR BANGLA HUB"
2026-07-22T20:45:03.908Z,/Date(1784764800000)/,S05,9041911565,"SONAR BANGLA HUB - S","1162",48,,48,48,50,50,,6924,1,"SONAR BANGLA HUB"
2026-07-22T20:45:03.908Z,/Date(1784764800000)/,S05,9041911564,"SONAR BANGLA HUB - S","1162",48,,48,48,50,50,,6924,1,"SONAR BANGLA HUB"
2026-08-08T10:45:01.907Z,/Date(1786147200000)/,S33,1154789509,"PORADANGA","1162",359,,359,359,362,362,,6924,1,"MOU FERTILIZER"
