City Code Descriptio,Special Process Indi,BIDING AMMOUNT
ALIBPUR,1164,618
KUMARGANJ,1164,825
BHARATPUR,1164,543
MALON,1164,840.995
TEHATTA,1164,792
PATIRAM,1164,833
RAIGANJ,1164,823
PANCHTHUPI,1164,541
CHANDERGHAT,1164,731
LITTIPARA,1164,618
KALIAGANJ,1164,879
KALIACHAK,1164,528
REZINAGAR,1164,493
JOYGHATA,1164,877
DHULIAN,1164,391
GUMANI,1164,610
ASHOKGRAM,1164,788
MAHESHPUR RAJ,1164,526
RAJGRAM,1164,400
HEMTABAD,1164,837
BALURGHAT,1164,869
BALURGHAT,1164,869
KUMEDPUR,1164,813
FULBARI (MLD),1164,825
USAHARAN,1164,783
BARDANGA,1164,696
TULSIHATA,1164,839
KUMARGANJ,1164,825
MALON,1164,840.995
PATIRAM,1164,833
RAIGANJ,1164,823
KALIAGANJ,1164,879
KALIACHAK,1164,528
ASHOKGRAM,1164,788
GAZOLE,1164,651
PAKUA HAT,1164,757
BALURGHAT,1164,869
TUNGIDIGHI,1164,837
KUMEDPUR,1164,813
FULBARI (MLD),1164,825
USAHARAN,1164,783
BARDANGA,1164,696
TULSIHATA,1164,839
KUMARGANJ,1164,825
MALON,1164,840.995
PATIRAM,1164,833
RAIGANJ,1164,823
KALIAGANJ,1164,879
KALIACHAK,1164,528
ASHOKGRAM,1164,788
PAKUA HAT,1164,757
BARNIA,1164,693
JOYGHATA,1164,877
RAJGRAM,1164,400
MANIKCHAK,1164,691
MAHIPAL,1164,779
CHAPRA,1164,812
TARAPITH,1164,441
NALAGOLA,1164,724
KUSHIDA,1164,765
REZINAGAR,1164,493
JOYGHATA,1164,877
DHULIAN,1164,391
RAJGRAM,1164,400
PATIRAM,1167,828
MAYURESWAR,1164,544
BELDANGA,1164,493
KRISHNANAGAR,1164,674
MOTHABARI,1164,568
AZIMGUNJ,1164,409
HARISHCHANDRAPUR,1164,823
MANIKCHAK,1164,691
MAHIPAL,1164,779
CHAPRA,1164,812
TARAPITH,1164,441
RATUA,1164,695
GOLAPGANJ (K-CHAK),1164,535
TEOR,1164,808
BAMONGOLA,1164,713
CHATRA,1164,389
KUMARGANJ,1164,825
UDHWA,1164,636
NALHATI,1164,377
NALAGOLA,1164,724
CHANDERGHAT,1164,731
MALDA,1164,588
KUSHIDA,1164,765
DALKHOLA,1164,950
NABAGRAM,1164,353
FARAKKA,1164,468
LASKAR HAT,1164,720
RASAKHOA,1164,878
SUJAPUR,1164,520
TUNGIDIGHI,1164,837
GANGAPRASAD COLONY,1164,703
SREEPUR,1164,668
BARHARWA,1164,602
BINDOL,1164,838
RAMPURHAT,1164,433
PAKUR,1164,501
PANCHANANDAPUR,1164,589
TUNGIDIGHI,1164,834
GOLAPGANJ (K-CHAK),1164,535
BILASPUR,1164,815
KUTALPOKAR,1164,612
LALBAG,1164,494
LOHAGARA,1164,818
BUNIADPUR (DD),1164,724
SHANTIPUR,1164,754
RAMPURHAT,1164,433
BASICMORE,1164,478
GAZNA (BAGULA),1164,749
TARAPITH,1164,441
KASIMBAZAR,1164,519
ITAHAR,1164,825
KHARGRAM,1164,417
HILLI,1164,917
MAHIPAL,1167,777
LASKAR HAT,1164,720
RASAKHOA,1164,878
SUJAPUR,1164,520
TUNGIDIGHI,1164,837
TUNGIDIGHI,1164,834
RATUA,1164,695
JURANPUR,1163,598
FARAKKA,1163,488
SIKARPUR,1163,718
BHARATPUR,1163,567
AZIMGUNJ,1163,432
NABAGRAM,1163,374
TEHATTA,1163,817
8 MILE,1164,611
CHANDERGHAT,1163,758
SIKARPUR,1164,693
BARHET,1164,715
BACHHRA,1164,522
KHARGRAM,1163,436
PANCHTHUPI,1163,564
CHAPRA,1163,858
CHANDERGHAT,1163,758
GOLAPGANJ (K-CHAK),1163,564
KHARGRAM,1163,436
BARHET,1163,769
SUJAPUR,1163,571
TEHATTA,1163,817
SIKARPUR,1163,718
KALIACHAK,1163,576
BARHET,1163,769
SUJAPUR,1163,571
SIKARPUR,1163,718
BHARATPUR,1163,567
TALIBPUR,1163,644
PANCHTHUPI,1163,564
CHAPRA,1163,858
CHANDERGHAT,1163,758
KULI,1164,453
RAJGRAM,1163,424
KALESWAR,1164,568
KENDUA,1164,682
HIRANPUR,1164,515
TINPAHAR,1164,801
BIRPUR,1164,600
ADINA,1164,705
DHUBULIA,1163,659
GUMANI,1164,610
BELDANGA,1163,515
FARAKKA,1164,468
RANAGHAT,1164,813
JURANPUR,1164,576
AZIMGANJ / MAHINAGAR,1164,393
DALKHOLA,1167,945
SALAR,1164,527
HIRANPUR,1167,510
KENDUA,1163,707
JIBANTI,1164,420
GOPALPOKHOR,1164,990
Gangarampur - STO,1164,732
BERHAMPORE T9 - STO,1164,354
BG BERHAMPORE 1 -STO,1164,424
CHANCHAL-STO,1164,724
Gangarampur - STO,1164,732
BG BERHAMPORE 1 -STO,1164,424
RAIGANJ - STO,1164,732
TINPAHAR,1163,828
12 MILE (BINODPUR),1164,640
KRISHNANAGAR - STO,1164,686
Gangarampur - STO,1164,732
BERHAMPORE T9 - STO,1164,354
BG BERHAMPORE 1 -STO,1164,424
CHANCHAL-STO,1164,724
Gangarampur - STO,1164,732
BERHAMPORE T9 - STO,1164,354
BG BERHAMPORE 1 -STO,1164,424
RAIGANJ - STO,1164,732
RAIGANJ - STO,1167,714
SONAR BANGLA HUB,1164,48
BISHNUPUR(SNT),1164,454
KANDI,1164,440
KULI,1163,476
TILASHAN,1163,690
NABIPUR,1164,659
KANDI,1163,462
BASICMORE,1163,506
GOPALPOKHOR,1167,985
GOBINDAPUR (HARIHAR),1164,531
LALBAG,1163,515
TRIMOHINI (HILLI),1164,950
UTTAR KUMEDPUR,1164,786
KRISHNANAGAR-T4-STO,1164,557
ASHAPUR,1164,783
MOTHABARI,1163,607
TARAPITH,1164,441
SONAR BANGLA HUB - S,1164,48
SALAR,1163,558
TALIBPUR,1164,618
TRIMOHINI,1164,500
JIAGANJ,1164,448
MD. BAZAR,1164,559
CHATRA,1163,406
