City Code Descriptio,Special Process Indi,BIDING AMMOUNT
HIRANPUR,1167,510
TALIBPUR,1164,618
PANCHTHUPI,1162,604
RAJGRAM,1162,460
BHARATPUR,1162,627
RAMPURHAT,1162,505
BASICMORE,1162,548
TALIBPUR,1162,690
TRIMOHINI,1162,564
KULI,1162,515
KHARGRAM,1162,472
AMRAPARA,1162,567
SALAR,1162,625
NABAGRAM,1162,402
LALBAG,1162,556
BACHHRA,1162,593
BAHUTALI,1162,408
BANIOR,1162,516
BELDANGA,1162,555
GOBINDAPUR (HARIHAR),1162,599
PATEKEBARI,1162,648
KANDI,1162,530
DHULIAN,1162,446
PANCHGRAM,1162,430
SANNYASIDANGA,1162,325
KALESWAR,1162,623
LITTIPARA,1162,683
MD. BAZAR,1162,643
KARIMPUR,1162,676
SONAR BANGLA HUB - S,1162,48
MAHISBATHAN,1162,696
TARAPITH,1162,509
HIRANPUR,1162,567
PORADANGA,1162,359
KALITALA,1162,560
JURANPUR,1163,598
MALDA,1163,646
FARAKKA,1163,488
SIKARPUR,1163,718
BHARATPUR,1163,567
AZIMGUNJ,1163,432
NABAGRAM,1163,374
TEHATTA,1163,817
KHARGRAM,1163,436
CHAPRA,1163,858
GOLAPGANJ (K-CHAK),1163,564
BARHET,1163,769
SUJAPUR,1163,571
KALIACHAK,1163,576
TALIBPUR,1163,644
PANCHTHUPI,1163,564
CHANDERGHAT,1163,758
RAJGRAM,1163,424
DHUBULIA,1163,659
BELDANGA,1163,515
KENDUA,1163,707
TINPAHAR,1163,828
KULI,1163,476
TILASHAN,1163,690
KANDI,1163,462
BASICMORE,1163,506
LALBAG,1163,515
MOTHABARI,1163,607
SALAR,1163,558
CHATRA,1163,406
BISHNUPUR(SNT),1163,470
SONAR BANGLA HUB - S,1163,48
NALHATI,1163,396
TALIBPUR,1164,618
PANCHTHUPI,1164,541
KANDI,1164,440
BHARATPUR,1164,543
TEHATTA,1164,792
CHANDERGHAT,1164,731
LITTIPARA,1164,618
MAHESHPUR RAJ,1164,526
GAZOLE,1164,651
BARNIA,1164,693
CHAPRA,1164,812
REZINAGAR,1164,493
BELDANGA,1164,493
UDHWA,1164,636
MALDA,1164,588
BALURGHAT,1164,869
NABAGRAM,1164,353
FARAKKA,1164,468
BARHARWA,1164,602
PAKUR,1164,501
PANCHANANDAPUR,1164,589
KUTALPOKAR,1164,612
BUNIADPUR (DD),1164,724
ITAHAR,1164,825
KHARGRAM,1164,417
BARHET,1164,715
KULI,1164,453
KENDUA,1164,682
HIRANPUR,1164,515
TINPAHAR,1164,801
ADINA,1164,705
TARAPITH,1164,441
SONAR BANGLA HUB - S,1164,58
MD. BAZAR,1164,559
CHAKDAH,1164,821
SREEPUR,1164,668
PATIRAM,1164,833
RAIGANJ,1164,823
MANGALBARI,1164,569
NAZIRPUR(MLD),1164,630
GANGARAMPUR,1164,728
FULBARI (MLD),1164,825
JIBANTI,1164,420
SALAR,1164,527
AZIMGANJ / MAHINAGAR,1164,393
JURANPUR,1164,576
RANAGHAT,1164,813
BASICMORE,1164,478
GAZNA (BAGULA),1164,749
RAMPURHAT,1164,433
KUMARGANJ,1164,825
SHANTIPUR,1164,754
LOHAGARA,1164,818
LALBAG,1164,494
BILASPUR,1164,815
GOLAPGANJ (K-CHAK),1164,535
TUNGIDIGHI,1164,834
BINDOL,1164,838
GANGAPRASAD COLONY,1164,703
SUJAPUR,1164,520
RASAKHOA,1164,878
LASKAR HAT,1164,720
DALKHOLA,1164,950
KUSHIDA,1164,765
NALAGOLA,1164,724
NALHATI,1164,377
CHATRA,1164,389
BAMONGOLA,1164,713
TEOR,1164,808
RATUA,1164,695
MAHIPAL,1164,779
MANIKCHAK,1164,691
HARISHCHANDRAPUR,1164,823
AZIMGUNJ,1164,409
KRISHNANAGAR,1164,674
MAYURESWAR,1164,544
KUMEDPUR,1164,813
MOLLADIGHI (KUMARGANJ),1164,870
MALON,1164,841
BANSHIHARI,1164,710
MOTHABARI,1164,568
BAHUTALI,1164,354
KUSHMANDI,1164,767
JOYGHATA,1164,877
HEMTABAD,1164,837
RAJGRAM,1164,400
DHULIAN,1164,391
PAKUA HAT,1164,757
ASHOKGRAM,1164,788
KALIACHAK,1164,528
KALIAGANJ,1164,879
BARDANGA,1164,696
USAHARAN,1164,783
GUMANI,1164,610
MURAGACHHA,1163,602
GOPIKANDAR,1167,546
FARAKKA,1167,462
PATIRAM,1167,828
CHAKULIA,1167,937
Gangarampur - STO,1164,732
BERHAMPORE T9 - STO,1164,354
BG BERHAMPORE 1 -STO,1164,424
PAKUR DUMP - STO,1164,426
CHANCHAL-STO,1164,724
RAIGANJ - STO,1164,732
BG KRISHNANAGAR -STO,1164,686
KRISHNANAGAR-T4-STO,1164,557
RAIGANJ - STO,1167,714
KALIAGANJ-STO,1167,756
BERHAMPORE T9 - STO,1167,354
PAKUR DUMP - STO,1167,421





